YEAR,MONTH,colder,hotter,wetter,drier
1992,1,0.17653320232539096,0.37157127650863836,0.2562024072709408,0.0
1992,2,0.0725672968028574,0.4006010976565903,0.2379127101663908,0.0
1992,3,0.23845934843616545,0.3298084353520153,0.2964574775287754,0.0
1992,4,0.2731024134050269,0.2738526947605352,0.25609603601350506,0.6150639823267059
1992,5,0.3252905457031407,0.3084409056178872,0.1525716813447541,0.7937829251618611
1992,6,0.3361263563618082,0.07545351711424861,0.16879634672587876,0.7773681344002681
1992,7,0.2624336069531627,0.03299533236761629,0.3532110091743119,0.5506196684371479
1992,8,0.44668376694759987,0.024062538170269942,0.1729164121982004,0.0
1992,9,0.3574152453589239,0.12487952059673972,0.2883124502367682,0.0
1992,10,0.2888790250988621,0.30328464207892825,0.14215963199096118,0.0
1992,11,0.16991179896821434,0.1616741554335164,0.3813862539524047,0.0
1992,12,0.2540098199672668,0.15887888707037642,0.3049509001636661,0.0
1993,1,0.2787247992132437,0.21525159809867234,0.29638583838714966,0.0
1993,2,0.34337404301859276,0.19331024425811155,0.26567626686110096,0.0
1993,3,0.28908107221903434,0.15579145831625543,0.28235920977129275,0.0
1993,4,0.29811715481171547,0.18217573221757322,0.322928870292887,0.5777824267782427
1993,5,0.2063453815261044,0.19325301204819278,0.3072690763052209,0.6139357429718876
1993,6,0.23647662343078785,0.10393293573007466,0.32718855569921174,0.6161738332568711
1993,7,0.08661161059354786,0.09340547577397176,0.33261462104877754,0.5850046784101541
1993,8,0.13136415063843543,0.16857927913366735,0.2576773880717634,0.0
1993,9,0.3713363243741876,0.07216235481571555,0.30340894796427526,0.0
1993,10,0.36593632732114756,0.18867772263244967,0.1710446677157729,0.0
1993,11,0.31197514276116894,0.1762680550890158,0.2371095062143097,0.0
1993,12,0.25579598145285937,0.21142113397868706,0.28593508500772796,0.0
1994,1,0.4923813849774952,0.1489036627162737,0.3198992443324937,0.0
1994,2,0.45263157894736844,0.2594668489405331,0.23604465709728867,0.0
1994,3,0.22184647979139505,0.30023631029986964,0.16260593220338984,0.0
1994,4,0.259167081466733,0.3514600962336154,0.2930977268956363,0.6419031027044965
1994,5,0.3378586480791052,0.2853785054303777,0.16473496514832225,0.7892689252715189
1994,6,0.16172731440957025,0.30719853278312703,0.22566795881789004,0.7236880496852987
1994,7,0.23876550101678695,0.052234937597192874,0.23944335898560548,0.6739104430001196
1994,8,0.30972183532969877,0.0776393807950973,0.21294122328783477,0.0
1994,9,0.2140010681566082,0.20027936403598867,0.21568546896183394,0.0
1994,10,0.19645145786606857,0.2224447292534444,0.18111182313361102,0.0
1994,11,0.15562791081069943,0.3440217615299015,0.2744095948563657,0.0
1994,12,0.14424550366965078,0.34055165739172516,0.20888781353334945,0.0
1995,1,0.28840882124299333,0.20232396383126713,0.28378544249416965,0.0
